Riesgo,Vulnerabilidad,Tipo,Tecnología,Descripción,Solución,Archivos afectados,Línea afectada,CWE
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/ajax/json/json.js,114,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,811,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,962,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,1491,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,1502,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,1574,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,2411,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,3881,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,3941,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,4068,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/dojo/dojo.js,4402,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/masks/masks.js,129,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/masks/masks.js,201,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/scvv/Utils.js,20,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/advlink/jscripts/functions.js,214,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/advlink/jscripts/functions.js,220,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/flash/editor_plugin_src.js,147,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/flash/editor_plugin_src.js,149,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,161,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,171,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,177,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,181,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,186,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/plugins/paste/editor_plugin_src.js,188,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/themes/advanced/jscripts/color_picker.js,49,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/tiny_mce_src.js,1476,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/tiny_mce_src.js,1655,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/tiny_mce_src.js,1834,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/tiny_mce_src.js,1906,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/tiny_mce_src.js,3742,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/textareas/tiny_mce/utils/form_utils.js,146,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/utils/fat.js,82,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/wforms/wforms.js,671,CWE-624
MEDIUM,dos,,,Make sure that using a regular expression is safe here.,"Recommended Secure Coding PracticesCheck whether your regular expression engine (the algorithm executing your regular expression) has any known vulnerabilities. Search forvulnerability reports mentioning the one engine you're are using.Use if possible a library which is not vulnerable to Redos Attacks such as Google Re2.Remember also that a ReDos attack is possible if a user-provided regular expression is executed. This rule won't detect this kind of injection.See   OWASP Top 10 2017 Category A1 - Injection    MITRE, CWE-624 - Executable Regular Expression Error     OWASP Regular expression Denial of Service - ReDoS ",CIBERSEG:src/main/webapp/scripts/wforms/wforms.js,675,CWE-624
